TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,GAME_DATE
1610612753,Orlando Magic,65,30,35,0.462,3125.0,108.7,2220,0.748,543,372,909.0,721.0,761.0,2946.0,4,15,16,16,12,10,16,5,4,4,1,1,4,8,03/10/2020
1610612755,Philadelphia 76ers,64,38,26,0.594,3087.0,107.5,2245,0.753,524,345,1047.0,737.0,896.0,3080.0,14,13,11,12,24,6,12,3,9,8,10,3,21,14,03/10/2020
1610612756,Phoenix Suns,65,26,39,0.4,3135.0,111.3,2163,0.728,507,261,1110.0,830.0,836.0,3242.0,4,21,21,21,9,19,23,18,14,28,19,14,15,23,03/10/2020
1610612757,Portland Trail Blazers,66,29,37,0.439,3178.0,113.6,2335,0.71,401,411,958.0,1022.0,1007.0,3126.0,1,17,20,17,3,27,6,27,29,2,5,30,27,18,03/10/2020
1610612758,Sacramento Kings,64,28,36,0.438,3102.0,110.8,2104,0.735,488,271,1045.0,750.0,806.0,2966.0,14,18,17,18,17,18,26,11,16,25,9,4,7,10,03/10/2020
1610612759,San Antonio Spurs,63,27,36,0.429,3059.0,112.8,2244,0.751,454,345,935.0,848.0,833.0,2998.0,29,20,17,20,29,24,13,4,24,8,2,19,12,12,03/10/2020
1610612761,Toronto Raptors,64,46,18,0.719,3092.0,104.9,2275,0.715,565,316,1085.0,889.0,806.0,2694.0,14,3,3,3,22,2,10,25,2,17,17,24,7,2,03/10/2020
1610612762,Utah Jazz,64,41,23,0.641,3077.0,108.8,2320,0.747,377,256,1083.0,768.0,809.0,2964.0,14,7,7,7,28,11,7,6,30,29,16,5,9,9,03/10/2020
1610612764,Washington Wizards,64,24,40,0.375,3087.0,115.0,2024,0.708,519,273,1057.0,946.0,801.0,3310.0,14,22,22,22,24,30,30,28,12,24,11,28,5,26,03/10/2020
1610612737,Atlanta Hawks,65,19,46,0.292,3145.0,114.2,2158,0.706,516,333,1260.0,986.0,952.0,3476.0,1,27,29,29,1,28,21,29,10,10,29,29,24,30,03/08/2020
1610612738,Boston Celtics,63,42,21,0.667,3049.0,106.1,2224,0.731,520,354,922.0,826.0,842.0,2700.0,19,5,5,5,22,4,12,14,9,7,3,15,17,3,03/08/2020
1610612751,Brooklyn Nets,63,29,34,0.46,3064.0,108.4,2376,0.737,406,289,1080.0,830.0,832.0,2938.0,19,15,15,15,19,8,2,9,27,22,18,17,16,10,03/08/2020
1610612766,Charlotte Hornets,63,22,41,0.349,3044.0,112.6,2004,0.705,412,258,1076.0,834.0,745.0,3184.0,19,23,23,23,23,24,29,30,26,27,17,19,3,21,03/08/2020
1610612741,Chicago Bulls,64,21,43,0.328,3087.0,109.0,2009,0.719,644,259,1125.0,812.0,802.0,3160.0,5,24,24,24,13,12,28,24,1,26,23,13,9,20,03/08/2020
1610612739,Cleveland Cavaliers,64,19,45,0.297,3097.0,114.9,2146,0.739,438,206,1279.0,810.0,927.0,3426.0,5,27,27,28,8,29,22,8,25,30,30,12,22,29,03/08/2020
1610612742,Dallas Mavericks,65,39,26,0.6,3140.0,110.0,2364,0.735,402,329,944.0,885.0,1086.0,3196.0,1,10,12,12,3,17,3,10,28,11,5,26,30,22,03/08/2020
1610612743,Denver Nuggets,63,42,21,0.667,3054.0,109.2,2100,0.727,512,290,960.0,764.0,787.0,3086.0,19,5,5,5,21,14,26,20,12,21,7,7,5,16,03/08/2020
1610612765,Detroit Pistons,65,20,45,0.308,3145.0,112.0,2083,0.719,480,296,1132.0,851.0,827.0,3384.0,1,25,27,26,1,22,27,23,18,20,24,20,15,27,03/08/2020
1610612744,Golden State Warriors,64,15,49,0.234,3097.0,112.7,2107,0.722,531,299,1150.0,863.0,961.0,3132.0,5,30,30,30,8,25,24,22,7,19,26,22,25,19,03/08/2020
1610612745,Houston Rockets,63,39,24,0.619,3039.0,109.9,2184,0.714,532,324,1100.0,883.0,980.0,3246.0,19,10,9,10,25,16,18,25,6,14,20,25,26,25,03/08/2020
1610612754,Indiana Pacers,64,39,25,0.609,3092.0,107.6,2178,0.722,465,326,936.0,829.0,869.0,3054.0,5,10,11,11,10,7,19,21,22,13,4,16,19,14,03/08/2020
1610612746,LA Clippers,63,43,20,0.683,3039.0,106.6,2332,0.732,451,316,1058.0,784.0,877.0,2828.0,19,4,4,4,25,5,4,13,23,16,14,8,20,5,03/08/2020
1610612747,Los Angeles Lakers,62,49,13,0.79,2986.0,105.5,2201,0.735,534,426,1057.0,755.0,1043.0,2858.0,29,2,2,2,30,3,16,12,4,1,13,6,29,7,03/08/2020
1610612763,Memphis Grizzlies,64,32,32,0.5,3077.0,109.8,2325,0.731,513,358,1167.0,895.0,937.0,2964.0,5,14,14,14,17,15,5,16,11,6,27,27,23,12,03/08/2020
1610612748,Miami Heat,64,41,23,0.641,3117.0,109.0,2316,0.758,472,286,1148.0,784.0,737.0,2846.0,5,7,8,8,5,13,6,2,20,23,25,8,2,6,03/08/2020
1610612749,Milwaukee Bucks,64,53,11,0.828,3082.0,101.5,2708,0.776,472,386,1041.0,714.0,862.0,2486.0,5,1,1,1,16,1,1,1,20,3,10,2,18,1,03/08/2020
1610612750,Minnesota Timberwolves,63,19,44,0.302,3064.0,111.6,2160,0.73,546,362,1120.0,858.0,820.0,3232.0,19,27,25,27,19,20,20,17,3,5,22,21,11,24,03/08/2020
1610612740,New Orleans Pelicans,64,28,36,0.438,3102.0,111.6,2290,0.731,486,328,1234.0,873.0,1017.0,3394.0,5,17,17,17,6,21,9,15,17,12,28,23,28,28,03/08/2020
1610612752,New York Knicks,64,20,44,0.313,3092.0,112.3,2205,0.743,480,301,1119.0,808.0,822.0,2802.0,5,25,25,25,10,23,15,7,18,18,21,10,13,4,03/08/2020
1610612760,Oklahoma City Thunder,64,40,24,0.625,3092.0,108.4,2213,0.728,487,321,1007.0,808.0,669.0,3118.0,5,9,9,9,10,9,13,18,16,15,8,10,1,18,03/08/2020
1610612753,Orlando Magic,64,29,35,0.453,3077.0,108.6,2191,0.748,533,369,892.0,708.0,749.0,2896.0,5,15,16,16,17,10,17,5,5,4,1,1,4,8,03/08/2020
1610612755,Philadelphia 76ers,64,38,26,0.594,3087.0,107.5,2245,0.753,524,345,1047.0,737.0,896.0,3080.0,5,13,12,13,13,6,10,3,8,8,12,3,21,15,03/08/2020
1610612756,Phoenix Suns,64,26,38,0.406,3087.0,111.1,2129,0.728,504,256,1094.0,822.0,821.0,3204.0,5,20,21,21,13,19,23,19,14,28,19,14,12,23,03/08/2020
1610612757,Portland Trail Blazers,65,28,37,0.431,3130.0,113.7,2298,0.709,392,402,947.0,1009.0,995.0,3090.0,1,17,20,19,4,27,7,27,29,2,6,30,27,17,03/08/2020
1610612758,Sacramento Kings,64,28,36,0.438,3102.0,110.8,2104,0.735,488,271,1045.0,750.0,806.0,2966.0,5,17,17,17,6,18,25,11,15,24,11,4,10,13,03/08/2020
1610612759,San Antonio Spurs,62,26,36,0.419,3011.0,112.9,2210,0.751,443,335,919.0,831.0,822.0,2960.0,29,20,17,20,29,26,14,4,24,9,2,18,13,11,03/08/2020
1610612761,Toronto Raptors,63,45,18,0.714,3044.0,105.1,2236,0.713,556,314,1064.0,881.0,790.0,2660.0,19,3,3,3,23,2,11,26,2,17,15,24,6,2,03/08/2020
1610612762,Utah Jazz,63,41,22,0.651,3029.0,108.8,2292,0.748,365,252,1072.0,754.0,796.0,2924.0,19,7,7,7,28,11,8,6,30,29,16,5,8,9,03/08/2020
1610612764,Washington Wizards,63,23,40,0.365,3039.0,115.1,1996,0.708,511,269,1035.0,925.0,795.0,3256.0,19,22,22,22,25,30,30,28,13,25,9,28,7,26,03/08/2020
1610612737,Atlanta Hawks,64,19,45,0.297,3097.0,114.3,2126,0.706,507,331,1242.0,968.0,936.0,3426.0,1,26,28,28,1,28,21,30,10,9,30,29,24,30,03/06/2020
1610612738,Boston Celtics,62,42,20,0.677,3001.0,106.1,2189,0.731,511,349,901.0,816.0,826.0,2682.0,17,5,5,5,21,4,12,15,9,7,2,16,17,3,03/06/2020
1610612751,Brooklyn Nets,62,28,34,0.452,3016.0,108.5,2331,0.735,402,284,1056.0,826.0,825.0,2892.0,17,15,15,15,17,8,2,10,27,22,18,20,16,11,03/06/2020
1610612766,Charlotte Hornets,62,21,41,0.339,2996.0,112.6,1980,0.706,405,257,1053.0,822.0,737.0,3144.0,17,23,23,23,22,25,29,29,26,26,17,17,3,23,03/06/2020
1610612741,Chicago Bulls,63,21,42,0.333,3039.0,109.0,1983,0.718,630,256,1115.0,807.0,784.0,3118.0,4,23,24,24,11,12,28,24,1,27,24,13,8,20,03/06/2020
1610612739,Cleveland Cavaliers,62,17,45,0.274,2996.0,115.1,2069,0.737,426,200,1231.0,784.0,899.0,3334.0,17,29,28,29,22,29,25,8,25,30,29,9,22,28,03/06/2020
1610612742,Dallas Mavericks,64,39,25,0.609,3092.0,110.0,2331,0.734,395,324,936.0,877.0,1061.0,3136.0,1,9,11,11,2,16,2,11,28,11,5,26,30,21,03/06/2020
1610612743,Denver Nuggets,62,42,20,0.677,3006.0,109.1,2076,0.727,497,290,939.0,759.0,772.0,3038.0,17,5,5,5,19,13,24,19,14,21,7,7,6,16,03/06/2020
1610612765,Detroit Pistons,63,20,43,0.317,3049.0,112.0,2025,0.72,468,292,1112.0,822.0,805.0,3276.0,4,25,25,25,6,22,27,23,19,20,23,17,12,27,03/06/2020
1610612744,Golden State Warriors,63,14,49,0.222,3049.0,112.6,2079,0.722,527,297,1141.0,846.0,956.0,3078.0,4,30,30,30,6,24,23,21,4,18,26,21,26,18,03/06/2020
1610612745,Houston Rockets,61,39,22,0.639,2943.0,109.7,2128,0.714,513,314,1047.0,857.0,952.0,3154.0,28,9,7,8,29,15,19,25,8,14,15,23,25,24,03/06/2020
1610612754,Indiana Pacers,63,38,25,0.603,3044.0,107.6,2137,0.721,460,320,931.0,825.0,856.0,3006.0,4,12,11,12,8,7,18,22,22,13,4,19,19,14,03/06/2020
1610612746,LA Clippers,62,43,19,0.694,2991.0,106.5,2298,0.732,446,311,1035.0,769.0,868.0,2784.0,17,4,4,4,25,5,4,13,23,16,13,8,20,5,03/06/2020
1610612747,Los Angeles Lakers,61,48,13,0.787,2938.0,105.5,2165,0.736,526,419,1040.0,739.0,1026.0,2820.0,28,2,2,2,30,3,16,9,5,1,14,6,29,6,03/06/2020
1610612763,Memphis Grizzlies,63,31,32,0.492,3029.0,110.0,2282,0.731,504,352,1153.0,883.0,915.0,2930.0,4,14,14,14,15,17,5,14,11,6,27,27,23,13,03/06/2020
