Game_ID,PTS,Player_PPG_last_5,Player_PPG_so_far,DEF_RATING,DEF_RATING_RANK,MIN_Model_Player,MIN_Factor_Teammate,Factor_Teammate_Yes,Factor_Teammate_miss_streak,Starters_PPG_last_5,Bench_PPG_last_5,forward1_def_rating,forward2_def_rating,guard1_def_rating,guard2_def_rating,center_def_rating,guard_off_avg,forward_center_off_avg
22101119,39,32.2,31.181818181818183,111.5,17,42.0,0.0,False,2,44.6,40.2,118.0,137.1,125.0,109.6,112.9,99.2,117.75
22101072,38,30.8,31.023255813953487,107.8,5,41.0,0.0,False,4,43.4,38.8,126.9,126.4,126.8,125.0,130.5,127.9,107.69999999999999
22101061,38,33.2,30.857142857142858,113.2,24,36.0,0.0,False,5,40.4,40.0,119.4,129.1,126.5,151.3,121.2,126.9,125.65
22101051,36,30.6,30.73170731707317,110.3,15,45.0,0.0,False,6,43.8,39.6,123.3,120.2,127.0,128.0,137.5,125.6,133.89999999999998
22101039,19,38.0,31.025,109.7,10,37.0,0.0,False,7,45.6,34.4,91.3,94.5,96.8,103.3,92.7,103.94999999999999,88.25
22101028,30,37.2,31.05128205128205,110.0,12,40.0,0.0,False,8,48.2,34.2,90.6,88.0,94.3,103.7,95.7,93.25,75.1
22101019,31,36.2,31.05263157894737,105.8,2,30.0,0.0,False,9,49.0,33.0,101.5,93.8,104.2,83.9,93.4,107.45,78.1
22101004,50,32.8,30.54054054054054,112.6,24,36.0,0.0,False,10,45.4,34.8,131.7,127.6,136.2,120.4,134.5,130.75,134.0
22100985,23,34.8,30.75,116.1,30,45.0,0.0,False,11,39.0,36.0,107.7,105.8,108.2,107.3,110.0,112.30000000000001,107.0
22100959,56,29.4,30.02857142857143,105.5,2,39.0,0.0,False,13,36.6,36.0,130.4,136.5,129.9,104.3,107.4,122.1,121.10000000000001
22100945,26,30.2,30.147058823529413,108.1,7,37.0,0.0,False,14,34.8,35.4,106.8,102.5,93.0,115.1,98.0,110.3,123.44999999999999
22100931,26,30.0,30.272727272727273,107.4,5,38.0,0.0,False,15,30.2,36.0,116.5,117.8,109.3,105.9,100.0,109.7,112.2
22100919,32,27.4,30.19047619047619,111.2,19,36.0,0.0,False,16,32.2,34.8,75.3,77.5,90.4,82.6,88.5,72.05000000000001,77.2
22100904,21,29.0,30.65,108.3,7,36.0,0.0,False,17,32.8,31.0,95.2,92.5,88.5,104.1,72.5,100.0,89.45
22100685,29,29.8,30.133333333333333,112.1,26,34.0,0.0,False,1,31.0,46.4,110.6,113.3,103.8,127.6,131.5,103.35,121.5
22100680,30,30.2,30.137931034482758,111.0,22,37.0,0.0,False,2,38.6,44.4,88.9,111.1,110.9,108.0,104.3,96.0,90.0
22100665,25,31.4,30.321428571428573,108.5,11,37.0,0.0,False,3,42.2,43.8,94.2,97.0,100.0,105.3,113.5,86.5,89.55000000000001
22100649,25,31.6,30.51851851851852,108.5,12,31.0,0.0,False,4,45.8,42.4,88.5,121.3,121.7,127.9,119.6,122.4,112.4
22100626,34,31.2,30.384615384615383,113.1,27,39.0,0.0,False,5,47.8,43.2,115.6,112.7,120.8,116.5,115.2,109.8,104.85
22100606,35,28.4,30.2,108.2,12,33.0,0.0,False,6,52.2,34.4,108.2,112.1,104.5,98.2,93.8,101.2,106.95
22100589,32,28.6,30.125,113.1,26,37.0,0.0,False,7,54.2,32.0,120.8,105.8,122.0,139.1,128.0,129.4,111.75
22100566,31,27.6,30.08695652173913,113.1,27,36.0,0.0,False,8,50.6,32.6,113.6,112.0,121.9,120.8,128.8,111.8,112.1
22100551,26,28.4,30.272727272727273,108.1,10,39.0,0.0,False,9,50.0,31.6,96.3,105.8,122.1,105.9,111.8,103.15,107.5
22100538,43,35.6,30.357142857142858,114.3,30,29.0,0.0,False,10,46.2,27.4,165.5,146.4,135.8,127.9,134.5,137.95,157.4
22100520,37,34.4,29.846153846153847,108.9,14,38.0,0.0,False,11,47.0,30.0,113.4,105.2,102.8,117.1,111.1,107.45,134.75
22100884,33,31.0,30.526315789473685,109.0,10,40.0,17.0,True,18,31.6,34.0,117.2,120.6,113.7,121.4,123.6,121.1,113.9
22100854,26,33.2,30.77777777777778,104.1,1,38.0,35.0,True,0,33.2,32.6,110.1,114.5,105.2,100.0,104.8,120.05000000000001,114.19999999999999
22100829,30,33.6,30.823529411764707,114.0,28,37.0,41.0,True,0,36.6,35.0,110.2,97.1,109.0,105.4,103.0,102.85,104.4
22100822,27,36.0,31.0625,108.6,10,35.0,37.0,True,0,34.0,39.0,108.0,117.6,111.5,116.7,115.3,107.25,107.1
22100799,29,37.4,31.2,109.4,12,40.0,41.0,True,0,31.8,43.4,108.8,113.3,109.9,117.0,104.8,107.35,111.65
22100718,33,28.4,30.1875,109.7,17,34.0,25.0,True,0,34.0,42.4,100.0,112.3,125.0,106.3,115.0,112.65,115.2
22100700,33,28.6,30.096774193548388,107.7,8,40.0,0.0,False,0,33.8,44.2,114.8,100.0,111.4,103.0,95.7,114.4,76.2
22100511,32,31.6,29.666666666666668,113.7,29,39.0,0.0,False,12,39.2,30.8,119.7,137.8,132.5,126.4,130.9,126.95,127.35
22100491,39,28.6,28.818181818181817,106.3,5,40.0,0.0,False,13,40.2,27.2,109.0,100.0,115.9,106.5,104.6,95.9,94.55
22100487,36,27.4,28.1,109.2,17,35.0,0.0,False,14,39.2,28.6,108.3,102.0,111.4,104.6,117.8,108.19999999999999,111.0
22100469,34,27.2,27.444444444444443,102.9,2,34.0,0.0,False,15,41.8,31.4,76.0,94.6,87.1,93.5,86.4,83.35,64.15
22100448,31,25.0,27.0,106.8,7,39.0,0.0,False,16,38.0,30.0,103.9,103.9,97.6,106.2,105.3,107.4,104.69999999999999
22100436,18,27.4,28.285714285714285,106.9,9,36.0,20.0,True,17,39.6,29.4,71.4,76.8,72.5,95.5,74.6,82.94999999999999,80.35
22100420,24,27.2,29.0,108.2,13,43.0,39.0,True,0,37.0,32.4,107.6,109.3,108.2,107.3,125.0,101.25,110.75
22100403,30,28.8,28.8,112.9,29,37.0,0.0,False,0,34.0,30.8,109.8,110.3,106.8,103.0,140.7,110.15,115.85
22200095,26,25.8,28.962962962962962,115.7,24,35.0,37.0,True,0,29.6,27.6,104.8,101.7,114.5,109.2,118.9,111.15,120.55000000000001
22200076,28,26.4,28.9811320754717,107.4,5,37.0,0.0,False,0,,,92.9,80.3,96.6,88.1,92.8,88.95,82.15
22200064,19,26.8,29.173076923076923,116.1,23,35.0,36.0,True,1,,,91.3,91.8,91.5,94.5,87.8,91.05,91.6
22200037,31,28.4,29.137254901960784,104.2,5,38.0,36.0,True,0,,,105.2,105.3,97.3,102.7,101.6,100.8,104.9
22200016,20,28.6,29.32,91.5,1,37.0,32.0,True,0,,,84.0,88.5,88.2,107.8,87.2,88.15,91.75
22200002,31,28.4,29.285714285714285,97.3,1,35.0,36.0,True,0,,,100.0,91.7,100.0,93.5,86.5,99.55000000000001,97.30000000000001
22200324,31,27.6,29.25,113.6,23,33.0,29.0,True,0,31.8,35.4,130.1,123.1,126.9,129.3,133.8,125.19999999999999,127.8
22200308,21,26.8,29.425531914893618,111.7,13,36.0,37.0,True,0,35.0,33.8,113.2,101.9,118.4,134.7,120.0,106.0,115.15
22200288,39,23.0,29.217391304347824,118.0,30,35.0,0.0,False,0,32.6,31.4,137.0,140.0,123.8,127.2,110.0,134.95,129.15
22200282,21,22.4,29.4,117.3,30,33.0,35.0,True,1,31.4,35.2,110.3,106.5,107.8,102.9,118.9,112.6,103.6
22200170,30,21.4,29.386363636363637,107.1,4,32.0,35.0,True,0,31.0,40.4,98.7,106.1,98.0,91.8,105.4,102.15,103.6
22200140,27,19.8,29.441860465116278,102.9,2,34.0,33.0,True,0,33.2,39.0,98.5,104.6,94.1,106.3,98.3,94.6,107.94999999999999
22200131,17,22.0,29.738095238095237,109.6,11,34.0,35.0,True,0,32.4,34.6,132.3,123.3,130.6,120.7,123.5,127.30000000000001,117.94999999999999
22200117,20,26.2,29.975609756097562,109.9,12,40.0,37.0,True,0,30.4,31.0,104.8,111.3,98.9,109.8,113.0,97.65,102.1
22201157,18,26.6,30.275,113.2,11,32.0,37.0,True,0,36.4,35.0,114.5,112.0,115.3,114.9,107.6,116.75,119.6
22201140,25,30.8,30.41025641025641,112.0,6,31.0,39.0,True,0,33.8,41.8,135.1,134.2,145.2,160.4,140.0,156.60000000000002,134.35000000000002
22201114,19,34.4,30.710526315789473,111.7,5,30.0,36.0,True,0,31.6,42.2,113.7,120.0,115.1,118.6,120.7,116.44999999999999,108.73333333333335
22200913,26,25.0,29.25,115.1,22,37.0,37.0,True,0,29.0,44.8,114.5,115.5,117.9,110.4,117.9,116.8,117.5
22200893,13,31.8,29.956521739130434,114.2,20,26.0,26.0,True,0,30.8,38.0,117.5,116.7,126.6,120.7,114.5,104.9,122.1
22200882,21,33.0,30.363636363636363,112.3,9,29.0,30.0,True,0,27.2,40.2,118.3,125.6,130.0,116.1,119.0,119.5,119.5
22200821,38,31.0,30.0,112.7,12,34.0,31.0,True,0,25.0,41.0,106.7,123.9,116.7,111.3,110.3,111.80000000000001,102.35
22200798,27,33.2,30.15,112.1,8,40.0,38.0,True,0,27.0,39.8,131.9,105.0,116.9,124.1,126.9,117.5,125.95
22200778,26,34.8,30.36842105263158,114.7,23,33.0,35.0,True,0,35.6,37.0,102.4,101.3,106.3,101.4,98.6,112.05000000000001,102.6
22200765,28,33.4,30.783783783783782,113.6,17,43.0,37.0,True,0,37.2,40.4,118.2,120.0,123.9,119.5,125.9,123.85000000000001,117.3
22200749,41,31.6,30.5,110.9,5,44.0,34.0,True,1,37.8,42.8,113.7,108.8,120.5,117.6,123.4,116.2,110.1
22200729,20,37.2,30.8,119.6,30,35.0,26.0,True,0,40.2,44.4,109.3,103.3,116.9,98.4,116.7,108.1,104.2
22200719,46,35.0,30.352941176470587,112.2,10,33.0,0.0,False,0,41.2,45.0,105.0,113.9,121.6,119.2,121.1,119.1,120.75
22200705,37,32.4,30.151515151515152,114.1,21,36.0,0.0,False,1,33.2,54.4,118.3,128.6,131.3,116.0,134.3,135.95,133.2
22200590,25,28.2,29.653846153846153,113.1,17,33.0,0.0,False,9,42.6,39.4,116.3,114.0,122.5,108.8,131.3,118.5,111.69999999999999
22200551,43,25.0,29.12,114.7,26,40.0,0.0,False,11,41.0,44.6,122.8,109.8,119.0,116.3,120.3,115.85,109.5
22200530,47,31.6,29.444444444444443,112.9,16,40.0,0.0,False,12,45.2,41.6,108.8,108.0,121.2,118.5,120.2,114.1,108.6
22200518,27,32.8,29.58823529411765,110.9,8,33.0,0.0,False,13,51.0,38.8,107.4,96.7,94.2,93.3,102.7,96.1,94.44999999999999
22200505,28,33.2,29.6875,114.2,25,31.0,0.0,False,14,46.2,40.6,131.3,114.9,128.8,122.4,120.0,119.3,117.5
22200494,38,32.2,29.133333333333333,112.6,16,34.0,0.0,False,15,42.8,38.2,118.7,134.8,120.0,121.3,124.0,132.1,117.0
22200492,34,32.4,28.785714285714285,114.9,27,34.0,0.0,False,16,39.8,33.0,108.5,133.3,123.5,121.4,117.6,112.35,129.95
22200475,31,30.8,28.615384615384617,112.9,19,34.0,0.0,False,17,32.0,36.6,105.3,118.7,110.0,118.6,111.3,109.75,109.3
22200451,33,28.4,28.25,113.6,22,37.0,0.0,False,19,25.4,42.0,114.0,108.3,114.7,123.4,109.9,122.65,106.8
22200437,30,28.2,28.09090909090909,115.1,28,36.0,17.0,True,20,24.8,34.6,125.0,118.1,123.1,108.8,117.9,112.75,100.1
22200413,33,27.2,27.6,111.1,9,43.0,46.0,True,0,27.8,34.2,105.4,93.4,98.9,96.3,93.8,91.25,93.9
22200396,35,27.4,26.77777777777778,116.8,29,37.0,36.0,True,0,28.8,36.2,109.5,113.5,107.4,113.2,104.1,116.4,120.25
22200382,23,26.0,27.25,109.5,4,44.0,36.0,True,0,27.2,38.0,107.9,124.2,106.9,108.6,105.2,109.1,111.35
22200690,23,35.2,30.375,109.2,1,37.0,0.0,False,2,36.8,50.8,120.0,120.9,109.0,109.2,101.7,112.75,109.9
22200677,32,33.8,30.322580645161292,114.6,24,37.0,0.0,False,3,42.6,50.2,108.8,112.3,107.7,89.1,96.8,110.6,106.1
22200664,48,32.8,29.733333333333334,117.3,28,36.0,0.0,False,4,46.4,43.6,143.3,139.7,146.3,141.4,138.8,134.60000000000002,123.85
22200655,35,31.0,29.551724137931036,110.5,4,35.0,0.0,False,5,48.2,43.0,106.5,131.3,120.8,106.8,116.7,116.19999999999999,102.4
22200630,24,28.8,29.75,113.4,22,47.0,0.0,False,6,48.8,38.4,93.8,100.0,93.5,93.2,91.6,93.2,94.9
22200595,37,25.6,29.48148148148148,114.6,25,38.0,0.0,False,8,46.0,41.6,135.4,131.7,126.5,136.3,124.0,136.4,119.5
